                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1757,                 4.7441,                 1.6068,                0.00267,                0.91803,                0.08317,                0.02853,                 2.0657,                 7.5366,                 1.6157,                0.00034,                0.00034,                0.00034
                      2,                 1.7443,                 3.2637,                 1.4461,                0.00233,                0.80328,                 0.0684,                0.02912,                 1.7749,                 6.5043,                 1.5709,             0.00068614,             0.00068614,             0.00068614
                      3,                 1.6939,                 2.5438,                 1.5066,                0.00252,                0.86885,                 0.0042,                0.00183,                 1.9074,                 6.4812,                 1.4423,               0.001018,               0.001018,               0.001018
                      4,                 1.6651,                  2.441,                 1.4228,                0.00927,                0.08197,                0.00673,                0.00311,                 2.2174,                 6.3626,                 2.0977,              0.0013357,              0.0013357,              0.0013357
                      5,                 1.6536,                 2.2003,                 1.4727,                0.93256,                0.22686,                0.62256,                0.25705,                 2.2598,                 4.7879,                 2.2858,               0.001639,               0.001639,               0.001639
                      6,                 1.7318,                 2.0104,                 1.5818,                0.60485,                0.16393,                0.25656,                0.10585,                 2.3634,                  5.391,                 2.4456,               0.001802,               0.001802,               0.001802
                      7,                 1.7077,                 2.0423,                 1.5391,                0.73883,                0.64932,                0.72241,                0.32587,                 2.2358,                 3.0217,                 2.5297,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.5765,                 1.8553,                 1.4551,                0.83081,                0.56361,                0.68254,                0.28749,                  2.088,                 2.5053,                 2.2684,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.5977,                 1.5444,                 1.4665,                0.89713,                0.60656,                 0.7799,                 0.3557,                 2.1197,                  2.667,                 2.1199,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6649,                 1.6247,                 1.5229,                0.61996,                0.68852,                0.66828,                0.27747,                 2.1182,                 2.4903,                 2.1139,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.5753,                 1.5192,                 1.5259,                0.65391,                0.55754,                0.66326,                0.28764,                 2.2304,                  2.445,                 2.1714,               0.001604,               0.001604,               0.001604
